,BCR,NB_BCR,FAR,NB_FAR,AHI,NB_AHI,ABV,NB_ABV,NDVI,NDWI,DIS_CBD,DIS_MRT
BCR,1.0,0.7628599459286093,0.792564355355298,0.6278473366359287,0.21205764147388514,0.2540495385196141,0.1772051163998676,0.24005977402197862,-0.5524926820773373,0.5315900625781151,-0.06398679625670621,-0.22010107851674868
NB_BCR,0.7628599459286093,1.0,0.6471395915743898,0.8196571995455376,0.27857574056587636,0.3497763537559339,0.2508113248492584,0.33193866577199466,-0.5321633918840183,0.5049881463900492,-0.07713352486428957,-0.3059003651337827
FAR,0.792564355355298,0.6471395915743898,1.0,0.7779955551928629,0.5878010538137833,0.5472296954446437,0.6107300659281089,0.5464695454288596,-0.45668863899306394,0.4479607048651146,-0.11527417146008327,-0.3053246306956419
NB_FAR,0.6278473366359287,0.8196571995455376,0.7779955551928629,1.0,0.5897255853041471,0.7214750560707556,0.5658352955045055,0.7255260630225893,-0.44271927947209505,0.4254344633053908,-0.16275493210563574,-0.42415683428250506
AHI,0.21205764147388514,0.27857574056587636,0.5878010538137833,0.5897255853041471,1.0,0.8136437620083822,0.9096301237261853,0.7869759286414002,-0.18280335643504264,0.190906774375975,-0.159792021098451,-0.3523617721098876
NB_AHI,0.2540495385196141,0.3497763537559339,0.5472296954446437,0.7214750560707556,0.8136437620083822,1.0,0.7526929310624672,0.9686782288930196,-0.21875206745045075,0.21756357549104083,-0.21716162071029624,-0.4657807320985253
ABV,0.1772051163998676,0.2508113248492584,0.6107300659281089,0.5658352955045055,0.9096301237261853,0.7526929310624672,1.0,0.7756794625200546,-0.1640556992879845,0.17216639549960355,-0.17825500881988413,-0.33980196410368
NB_ABV,0.24005977402197862,0.33193866577199466,0.5464695454288596,0.7255260630225893,0.7869759286414002,0.9686782288930196,0.7756794625200546,1.0,-0.2098015600885283,0.20735932454493783,-0.2557295827990128,-0.4718457183892208
NDVI,-0.5524926820773373,-0.5321633918840183,-0.45668863899306394,-0.44271927947209505,-0.18280335643504264,-0.21875206745045075,-0.1640556992879845,-0.2098015600885283,1.0,-0.9621111028539915,-0.06786146527486878,-0.011519356777740365
NDWI,0.5315900625781151,0.5049881463900492,0.4479607048651146,0.4254344633053908,0.190906774375975,0.21756357549104083,0.17216639549960355,0.20735932454493783,-0.9621111028539915,1.0,0.08231284677748506,0.02594362818837149
DIS_CBD,-0.06398679625670621,-0.07713352486428957,-0.11527417146008327,-0.16275493210563574,-0.159792021098451,-0.21716162071029624,-0.17825500881988413,-0.2557295827990128,-0.06786146527486878,0.08231284677748506,1.0,0.5327468005367542
DIS_MRT,-0.22010107851674868,-0.3059003651337827,-0.3053246306956419,-0.42415683428250506,-0.3523617721098876,-0.4657807320985253,-0.33980196410368,-0.4718457183892208,-0.011519356777740365,0.02594362818837149,0.5327468005367542,1.0
