Feature,Value_scaled,Value_true,Average_ECSI,Average_SEVI,Std_ECSI,Std_SEVI
BCR,-1.424542,0.000606,0.091522,-0.974632,0.713476,0.487322
BCR,-1.340495,0.012307,0.078901,-0.917369,0.715448,0.488659
BCR,-1.256448,0.024008,0.068186,-0.859089,0.717893,0.491384
BCR,-1.1724,0.035708,0.059574,-0.799738,0.720856,0.495575
BCR,-1.088353,0.047409,0.05313,-0.739331,0.724335,0.501372
BCR,-1.004306,0.05911,0.048747,-0.677828,0.728132,0.50886
BCR,-0.920258,0.07081,0.046418,-0.615146,0.732265,0.518187
BCR,-0.836211,0.082511,0.04616,-0.551252,0.736811,0.529435
BCR,-0.752164,0.094212,0.047731,-0.486087,0.74163,0.54265
BCR,-0.668116,0.105912,0.05095,-0.419526,0.746257,0.557936
BCR,-0.584069,0.117613,0.055924,-0.351547,0.750845,0.575511
BCR,-0.500022,0.129314,0.062649,-0.282199,0.755401,0.595348
BCR,-0.415975,0.141014,0.071061,-0.211535,0.759603,0.617358
BCR,-0.331927,0.152715,0.081093,-0.139806,0.763432,0.641438
BCR,-0.24788,0.164416,0.092662,-0.067147,0.76641,0.667453
BCR,-0.163833,0.176116,0.1059,0.006321,0.768611,0.695365
BCR,-0.079785,0.187817,0.12075,0.080509,0.770019,0.72501
BCR,0.004262,0.199518,0.136974,0.155314,0.770612,0.756206
BCR,0.088309,0.211218,0.154558,0.230655,0.770619,0.788687
BCR,0.172357,0.222919,0.173289,0.306382,0.77014,0.82224
BCR,0.256404,0.23462,0.192808,0.382272,0.769227,0.856498
BCR,0.340451,0.24632,0.21293,0.4581,0.767778,0.891196
BCR,0.424499,0.258021,0.233517,0.533667,0.765872,0.925978
BCR,0.508546,0.269722,0.25429,0.608712,0.763984,0.96065
BCR,0.592593,0.281422,0.275042,0.68302,0.762161,0.994931
BCR,0.676641,0.293123,0.295614,0.75638,0.760269,1.028519
BCR,0.760688,0.304824,0.31578,0.828645,0.758309,1.061242
BCR,0.844735,0.316524,0.335558,0.899708,0.756349,1.092937
BCR,0.928783,0.328225,0.35492,0.969505,0.75436,1.123357
BCR,1.01283,0.339926,0.373988,1.038025,0.752459,1.152377
BCR,1.096877,0.351626,0.392795,1.105404,0.750732,1.180065
BCR,1.180924,0.363327,0.411245,1.171589,0.74921,1.206252
BCR,1.264972,0.375028,0.429213,1.236511,0.747534,1.230912
BCR,1.349019,0.386728,0.446885,1.300246,0.745816,1.254038
BCR,1.433066,0.398429,0.464241,1.362861,0.744107,1.275581
BCR,1.517114,0.410129,0.481329,1.424387,0.742676,1.295615
BCR,1.601161,0.42183,0.498107,1.484802,0.74137,1.314117
BCR,1.685208,0.433531,0.514679,1.54416,0.740141,1.331059
BCR,1.769256,0.445231,0.531064,1.602533,0.739116,1.346558
BCR,1.853303,0.456932,0.547271,1.659932,0.738171,1.360664
BCR,1.93735,0.468633,0.563347,1.716428,0.737296,1.373454
BCR,2.021398,0.480333,0.57929,1.772019,0.736479,1.384921
BCR,2.105445,0.492034,0.59504,1.826727,0.735657,1.395151
BCR,2.189492,0.503735,0.610616,1.880517,0.734889,1.404147
BCR,2.27354,0.515435,0.626119,1.933555,0.734239,1.412069
BCR,2.357587,0.527136,0.64157,1.985847,0.733632,1.418913
