OBJECTID,ECSI,SEVI
1,0.41407,0.603832
2,0.3657,0.483044
3,0.366137,0.564615
4,0.339442,0.592358
6,0.341493,0.787281
7,0.398925,0.827391
8,0.088731,0.246352
9,0.396463,0.118064
10,0.241177,0.273135
11,0.181018,0.196436
12,0.242985,0.128279
13,0.403556,0.474045
14,0.308723,0.585725
15,0.411922,0.114417
16,0.367627,0.437932
17,0.376594,0.432407
18,0.430484,0.338756
19,0.325945,0.500382
20,0.398099,0.434581
21,0.188707,0.089392
23,0.200928,0.108999
24,0.102854,0.07206
25,0.357251,0.380753
27,0.193976,0.27096
28,0.17134,0.09556
30,0.398209,0.768991
31,0.335851,0.366805
32,0.347931,0.347117
34,0.268596,0.664104
35,0.315186,0.063525
36,0.43645,0.669589
37,0.340682,0.284076
38,0.47912,0.437641
39,0.27991,0.727356
40,0.400529,0.497222
41,0.175995,0.425462
42,0.311628,0.146365
43,0.169783,0.435423
44,0.318412,0.508273
45,0.090104,0.039111
46,0.400447,0.652299
48,0.424562,0.516753
51,0.321187,0.156069
52,0.20345,0.079628
53,0.353114,0.102738
55,0.387944,0.523507
56,0.345321,0.504839
57,0.261581,0.312274
59,0.488254,0.486993
61,0.258018,0.110139
62,0.40648,0.445463
63,0.372303,0.139683
64,0.328662,0.129327
65,0.370414,0.140315
68,0.460839,0.410503
69,0.468286,0.387003
70,0.402429,0.413715
71,0.422196,0.419518
72,0.110261,0.55604
73,0.397257,0.299545
74,0.32662,0.083409
75,0.267758,0.359619
76,0.351738,0.479705
77,0.226379,0.473761
78,0.134402,0.450694
79,0.404803,0.374876
80,0.385624,0.55412
82,0.181039,0.454133
84,0.160455,0.340989
85,0.400642,0.121036
86,0.345737,0.299092
87,0.383303,0.10977
88,0.227177,0.405492
89,0.315039,0.290686
90,0.416028,0.37397
91,0.424475,0.163732
93,0.461917,0.459692
94,0.387094,0.088701
95,0.222703,0.518374
96,0.20772,0.281854
97,0.360808,0.39007
98,0.270974,0.522027
99,0.481885,0.43553
100,0.374855,0.403791
102,0.182491,0.12203
104,0.401017,0.167363
105,0.142715,0.427429
106,0.279282,0.671356
107,0.124725,0.52928
108,0.340986,0.434417
109,0.338876,0.10561
111,0.30122,0.38459
112,0.362624,0.500857
113,0.036142,0.030278
114,0.327716,0.64547
115,0.355403,0.079166
118,0.337211,0.302488
119,0.167147,0.470865
120,0.403971,0.384056
121,0.330912,0.335425
122,0.350507,0.096101
124,0.300444,0.126488
125,0.312558,0.351852
126,0.312749,0.434631
127,0.470395,0.39153
128,0.401209,0.832669
129,0.402093,0.24685
130,0.420398,0.415783
131,0.324145,0.1198
132,0.179994,0.470842
133,0.29623,0.493899
134,0.26884,0.394571
135,0.251223,0.119566
136,0.346632,0.428455
137,0.249505,0.5771
138,0.376695,0.118481
139,0.395779,0.46619
140,0.344649,0.744996
141,0.290266,0.389435
142,0.252353,0.114781
143,0.191594,0.059157
145,0.090733,0.039641
146,0.380707,0.397601
147,0.349634,0.549864
148,0.182171,0.282211
150,0.44392,0.478889
151,0.489496,0.423544
153,0.328896,0.42008
154,0.334795,0.110731
155,0.325962,0.42449
156,0.396437,0.279899
157,0.28873,0.201931
158,0.375846,0.323639
159,0.264593,0.672647
160,0.468516,0.430384
161,0.436835,0.436891
163,0.385313,0.304459
164,0.356012,0.130487
165,0.333283,0.505753
166,0.397502,0.447799
167,0.328673,0.562628
168,0.415638,0.467674
170,0.216716,0.472867
171,0.321853,0.30026
172,0.42272,0.4257
173,0.37437,0.465136
174,0.284538,0.261919
175,0.163371,0.049384
176,0.209226,0.570593
177,0.146696,0.514715
178,0.234897,0.468555
179,0.336474,0.298139
180,0.425545,0.413868
182,0.223868,0.307219
183,0.404483,0.432106
184,0.33401,0.303152
185,0.147151,0.371138
186,0.134421,0.39584
187,0.384968,0.136473
188,0.367112,0.441107
189,0.125439,0.06557
190,0.144271,0.504247
191,0.35224,0.389047
192,0.386221,0.097329
193,0.384824,0.388672
194,0.304621,0.384544
196,0.415579,0.496237
199,0.368596,0.13069
200,0.26943,0.484351
201,0.407717,0.450821
204,0.484145,0.420706
205,0.113177,0.436625
206,0.401241,0.258077
207,0.134098,0.102495
208,0.348553,0.642865
209,0.304957,0.489633
210,0.201074,0.28773
211,0.446062,0.689322
212,0.373734,0.437494
213,0.384182,0.461261
214,0.426754,0.445138
215,0.379591,0.719757
220,0.436591,0.387028
221,0.391961,0.484585
222,0.34798,0.452957
223,0.404889,0.082029
224,0.338788,0.09176
225,0.485946,0.374343
226,0.455951,0.46502
227,0.360472,0.251584
228,0.160038,0.496868
230,0.386283,0.391699
231,0.065757,0.028465
232,0.432884,0.568813
233,0.408143,0.195411
234,0.165431,0.531227
235,0.374316,0.280076
237,0.410705,0.456958
238,0.290278,0.468301
239,0.399866,0.300925
242,0.209349,0.458089
243,0.190379,0.126269
245,0.450277,0.450719
246,0.345428,0.418792
247,0.420947,0.422592
248,0.366713,0.496242
250,0.311172,0.543253
251,0.404666,0.303989
252,0.307929,0.468847
253,0.075928,0.209098
254,0.264765,0.38987
255,0.320491,0.397298
256,0.274518,0.123342
257,0.445837,0.428618
258,0.342402,0.647709
259,0.246149,0.401998
260,0.454034,0.431546
262,0.268948,0.125624
264,0.364168,0.4414
