,BCR,NB_BCR,FAR,AHI,NB_AHI,NDVI,DIS_CBD,DIS_MRT,LSI,LPI,MENN,SHDI,SVF,BHD,Albedo
BCR,1.0,0.7627883387543907,0.7900500261272023,0.19242671785117005,0.23032289529740396,-0.5353412778357829,-0.06123842489918694,-0.23001585335836225,0.25707807469201616,-0.12380192727592684,0.012474283558637753,-0.08833876311224688,-0.3072856892389839,0.2237975899418167,-0.033580287159521265
NB_BCR,0.7627883387543907,1.0,0.6421838469324255,0.25537289270429253,0.3213685935159259,-0.5136437012171546,-0.07614068873462475,-0.3163662681020771,0.3613006684108847,-0.2698147514395586,0.07736397180999788,0.002243681552739964,-0.25621347619566276,0.22337945786749164,-0.08983563137520238
FAR,0.7900500261272023,0.6421838469324255,1.0,0.5757475831241724,0.5327194146398591,-0.4474596164841114,-0.11164277935914493,-0.31458014533766904,0.24026195247502835,-0.1679700785303913,0.054799690328938326,-0.04307345574493007,-0.40135021643370616,0.3900237442686534,-0.1949606853442022
AHI,0.19242671785117005,0.25537289270429253,0.5757475831241724,1.0,0.8097778907961185,-0.17238989045896547,-0.15055560005695687,-0.3658679603465227,0.14648632916062157,-0.22297496944711104,0.14896402514785348,0.11614228376637219,-0.3283594807307495,0.44033439246172057,-0.3034414773799766
NB_AHI,0.23032289529740396,0.3213685935159259,0.5327194146398591,0.8097778907961185,1.0,-0.20718254966725422,-0.20813708336058603,-0.4794459409803214,0.20862036091337854,-0.28811536171170793,0.19214484244577923,0.1727190520544737,-0.34936429804651564,0.4557137207063612,-0.3292414760198571
NDVI,-0.5353412778357829,-0.5136437012171546,-0.4474596164841114,-0.17238989045896547,-0.20718254966725422,1.0,-0.08566661514811942,0.08016164332988217,-0.16243810133542652,0.10313655831513993,-0.014531783613684852,0.02825898617428527,0.16626643211564096,-0.12351060435750383,-0.042381831848809816
DIS_CBD,-0.06123842489918694,-0.07614068873462475,-0.11164277935914493,-0.15055560005695687,-0.20813708336058603,-0.08566661514811942,1.0,0.5063203576803104,-0.3882836526599139,0.25314071544933103,-0.12152600507912417,-0.24871774504026767,0.19354099195866464,-0.3395302958676682,0.29280571045148646
DIS_MRT,-0.23001585335836225,-0.3163662681020771,-0.31458014533766904,-0.3658679603465227,-0.4794459409803214,0.08016164332988217,0.5063203576803104,1.0,-0.39360349832995906,0.3670293662687208,-0.2173070909071356,-0.21977042667291374,0.2811444345054117,-0.34576081049597296,0.2744345909374176
LSI,0.25707807469201616,0.3613006684108847,0.24026195247502835,0.14648632916062157,0.20862036091337854,-0.16243810133542652,-0.3882836526599139,-0.39360349832995906,1.0,-0.7293187720532079,0.21000970605329203,0.45560746125316326,-0.16576103916053386,0.207137415270738,-0.17465547085112845
LPI,-0.12380192727592684,-0.2698147514395586,-0.1679700785303913,-0.22297496944711104,-0.28811536171170793,0.10313655831513993,0.25314071544933103,0.3670293662687208,-0.7293187720532079,1.0,-0.26793568123256123,-0.6213141517889208,0.13829506901388153,-0.2736374131757855,0.15035422790683106
MENN,0.012474283558637753,0.07736397180999788,0.054799690328938326,0.14896402514785348,0.19214484244577923,-0.014531783613684852,-0.12152600507912417,-0.2173070909071356,0.21000970605329203,-0.26793568123256123,1.0,0.20803029986208324,-0.09324928218995807,0.13946785544968357,-0.09900620666194117
SHDI,-0.08833876311224688,0.002243681552739964,-0.04307345574493007,0.11614228376637219,0.1727190520544737,0.02825898617428527,-0.24871774504026767,-0.21977042667291374,0.45560746125316326,-0.6213141517889208,0.20803029986208324,1.0,-0.04909997030498887,0.2130092052544019,-0.12020463116964582
SVF,-0.3072856892389839,-0.25621347619566276,-0.40135021643370616,-0.3283594807307495,-0.34936429804651564,0.16626643211564096,0.19354099195866464,0.2811444345054117,-0.16576103916053386,0.13829506901388153,-0.09324928218995807,-0.04909997030498887,1.0,-0.4735455537741474,0.28770436677178574
BHD,0.2237975899418167,0.22337945786749164,0.3900237442686534,0.44033439246172057,0.4557137207063612,-0.12351060435750383,-0.3395302958676682,-0.34576081049597296,0.207137415270738,-0.2736374131757855,0.13946785544968357,0.2130092052544019,-0.4735455537741474,1.0,-0.36719647385718135
Albedo,-0.033580287159521265,-0.08983563137520238,-0.1949606853442022,-0.3034414773799766,-0.3292414760198571,-0.042381831848809816,0.29280571045148646,0.2744345909374176,-0.17465547085112845,0.15035422790683106,-0.09900620666194117,-0.12020463116964582,0.28770436677178574,-0.36719647385718135,1.0
