Feature,Group,r_ECSI,p_ECSI,sig_ECSI,r_SEVI,p_SEVI,sig_SEVI
BCR,orig,0.2742,0.0,***,0.2471,0.0,***
NB_BCR,orig,0.2983,0.0,***,0.247,0.0,***
FAR,orig,0.2611,0.0,***,0.3669,0.0,***
AHI,orig,0.1496,0.0,***,0.3661,0.0,***
NB_AHI,orig,0.1789,0.0,***,0.4276,0.0,***
NDVI,orig,-0.1952,0.0,***,-0.0567,0.0,***
DIS_CBD,orig,-0.439,0.0,***,-0.554,0.0,***
DIS_MRT,orig,-0.1765,0.0,***,-0.6008,0.0,***
LSI,new,0.2019,0.0,***,0.4746,0.0,***
LPI,new,-0.1294,0.0,***,-0.3924,0.0,***
MENN,new,0.099,0.0,***,0.2674,0.0,***
SHDI,new,-0.0055,0.602149,ns,0.3068,0.0,***
SVF,new,-0.2126,0.0,***,-0.5023,0.0,***
BHD,new,0.1906,0.0,***,0.5622,0.0,***
Albedo,new,-0.0955,0.0,***,-0.3783,0.0,***
