OBJECTID,BHD
1,22.4559
2,33.7285
3,9.5826
4,2.9839
6,7.6158
7,39.3385
8,0.4714
9,3.4853
10,0.0
11,3.7347
12,24.0028
13,1.8209
14,53.5817
15,2.8321
16,9.5974
17,7.3677
18,1.3413
19,13.7204
20,15.9146
21,0.0
23,0.0
24,0.0
25,2.3345
27,2.0883
28,2.7994
30,33.5307
31,2.3176
32,1.7742
34,0.0
35,0.0
36,3.6999
37,1.9981
38,13.6607
39,28.8311
40,1.5663
41,12.8085
42,0.0
43,9.315
44,24.0637
45,0.4714
46,2.299
48,3.7618
51,0.0
52,0.0
53,5.2343
55,13.766
56,40.5131
57,1.2134
59,10.1338
61,0.0
62,0.0
63,11.4607
64,2.5873
65,4.5795
68,0.0
69,0.0
70,0.0
71,2.4547
72,28.8722
73,3.4635
74,0.862
75,13.9665
76,18.4856
77,18.5273
78,0.0
79,1.8982
80,27.8121
82,16.3141
84,8.8923
85,3.9192
86,3.7504
87,16.6245
88,7.9352
89,5.6569
90,8.0463
91,18.8258
93,3.8233
94,1.8263
95,18.9207
96,2.3152
97,7.0518
98,8.4436
99,6.4679
100,4.9153
102,0.0
104,0.0
105,9.4237
106,11.2323
107,7.4833
108,2.9814
109,1.9717
111,0.0
112,23.0515
113,0.0
114,17.6184
115,0.0
118,3.2404
119,16.5269
120,3.456
121,2.6469
122,7.6094
124,0.0
125,10.3508
126,3.285
127,2.6936
128,14.6815
129,31.3421
130,1.0
131,0.0
132,14.8792
133,21.4058
134,2.5412
135,0.0
136,9.9805
137,19.7614
138,1.111
139,10.5753
140,13.2458
141,1.4625
142,0.0
143,0.0
145,5.9463
146,12.153
147,29.936
148,0.603
150,10.2684
151,6.85
153,4.2426
154,0.8272
155,0.0
156,3.7221
157,0.0
158,9.4029
159,3.0491
160,5.314
161,1.2065
163,2.042
164,0.0
165,15.7505
166,12.1739
167,4.0947
168,10.7056
170,9.0863
171,0.0
172,15.0764
173,6.9322
174,0.0
175,0.0
176,14.1373
177,9.0211
178,16.0997
179,0.0
180,20.3316
182,12.0967
183,1.4916
184,6.5
185,0.0
186,3.3014
187,2.7775
188,0.0
189,0.0
190,4.3084
191,10.6268
192,0.0
193,5.4443
194,7.2806
196,2.1741
199,0.0
200,9.5208
201,3.4708
204,6.9127
205,0.0
206,0.0
207,0.0
208,19.1594
209,2.1817
210,0.4949
211,4.4292
212,40.1727
213,0.0
214,8.2857
215,18.903
220,1.6164
221,27.5672
222,1.7256
223,0.5
224,2.8107
225,7.3332
226,19.0735
227,9.2906
228,10.0975
230,2.9475
231,0.0
232,3.7097
233,7.2716
234,4.6768
235,1.5
237,10.8483
238,0.866
239,3.6014
242,42.1441
243,0.0
245,4.6028
246,0.5
247,15.0033
248,11.3807
250,13.8807
251,3.098
252,1.0679
253,0.0
254,3.7262
255,0.8975
256,0.0
257,8.2079
258,30.2946
259,2.9674
260,9.7723
262,2.2361
264,8.1423
265,19.0415
266,2.5298
267,2.9569
268,15.939
269,1.4153
270,0.0
271,4.0522
272,1.4885
273,0.0
274,24.5338
275,9.3708
276,35.5408
278,13.1438
280,4.7333
281,0.0
282,6.9621
284,16.5238
285,12.0566
286,1.536
287,1.6099
288,18.5828
289,1.8028
291,8.7989
292,0.4714
295,0.0
296,3.555
297,30.1542
298,24.3049
299,6.3043
300,4.1062
301,0.0
302,12.9604
303,3.9879
304,7.3208
305,5.094
306,5.2791
307,2.4896
308,12.2593
309,4.996
310,0.0
311,2.971
313,1.772
314,1.2426
315,1.7573
316,1.8005
317,22.9643
318,0.0
319,0.0
320,3.2577
321,1.3112
322,0.0
323,0.0
324,32.3714
325,3.9028
326,3.1094
327,6.3
328,17.5539
329,4.337
330,7.1799
331,1.5
332,2.1655
333,3.3427
334,5.0878
335,2.0572
336,3.6332
337,0.0
338,0.0
339,5.0109
340,3.0619
341,1.5558
342,27.3571
343,9.0769
344,0.0
345,0.0
346,9.3676
347,1.8379
349,14.6333
350,4.2402
351,0.0
352,12.8219
354,0.0
355,66.3626
358,1.299
359,2.8284
360,0.0
362,2.9727
363,1.7728
364,7.0887
365,0.0
366,1.118
367,4.0299
368,5.4361
369,1.3266
371,7.3725
372,15.5563
373,12.7694
374,6.2586
375,3.2998
376,3.6401
377,14.3279
378,1.2719
380,3.6336
381,2.5549
382,11.1125
383,5.5988
384,2.4944
386,0.0
387,1.675
388,0.0
389,17.7238
390,0.0
391,6.273
392,7.6354
393,1.7445
394,25.8827
395,10.7186
396,11.2268
397,36.4061
398,7.6348
399,16.3525
400,3.6394
401,1.7753
402,7.9145
403,2.5681
404,4.5
405,3.831
406,14.7009
408,10.5329
409,0.0
410,15.9649
411,0.0
412,0.0
413,0.0
414,4.1533
415,2.357
416,2.4731
417,18.3044
418,5.5347
419,10.0654
420,8.9178
422,23.6661
423,6.9901
424,18.8739
426,1.0498
427,6.9939
428,1.0
429,4.1827
430,1.2183
434,18.453
435,0.0
437,2.2638
438,1.7889
439,21.8919
440,5.711
441,12.5651
442,15.002
443,2.5
444,2.711
445,1.9135
447,14.6727
448,0.0
449,2.2776
450,1.7474
451,10.0968
453,0.0
454,5.295
455,4.899
456,16.6416
457,0.7423
458,7.9876
459,1.536
460,6.0115
461,0.0
462,7.1545
463,0.0
464,1.1169
465,8.2225
466,13.8399
467,0.0
