OBJECTID,Albedo
1,0.1297
2,0.1453
3,0.1393
4,0.1811
6,0.1525
7,0.1279
8,0.1956
9,0.1795
10,0.1917
11,0.1592
12,0.1427
13,0.1546
14,0.1385
15,0.158
16,0.1214
17,0.1475
18,0.1503
19,0.1391
20,0.1678
21,0.1932
23,0.1934
24,0.1515
25,0.1731
27,0.1646
28,0.1763
30,0.117
31,0.1699
32,0.1493
34,0.1881
35,0.1439
36,0.1685
37,0.16
38,0.1427
39,0.1845
40,0.1659
41,0.1344
42,0.1793
43,0.1358
44,0.1418
45,0.1976
46,0.1648
48,0.1589
51,0.1674
52,0.1594
53,0.1503
55,0.1414
56,0.1424
57,0.1729
59,0.1826
61,0.1648
62,0.1931
63,0.1476
64,0.16
65,0.1093
68,0.1757
69,0.1964
70,0.1989
71,0.1748
72,0.1517
73,0.1846
74,0.1638
75,0.1533
76,0.1312
77,0.1476
78,0.1684
79,0.1504
80,0.1561
82,0.1315
84,0.142
85,0.055
86,0.1688
87,0.1575
88,0.1634
89,0.1526
90,0.1564
91,0.14
93,0.1551
94,0.1579
95,0.1386
96,0.1362
97,0.1422
98,0.1528
99,0.1546
100,0.1545
102,0.0797
104,0.1821
105,0.1502
106,0.1432
107,0.138
108,0.2744
109,0.1578
111,0.1489
112,0.1453
113,0.1958
114,0.1521
115,0.166
118,0.1482
119,0.1367
120,0.1949
121,0.1701
122,0.1392
124,0.2205
125,0.1567
126,0.1548
127,0.1716
128,0.1364
129,0.1344
130,0.1752
131,0.2197
132,0.1355
133,0.1337
134,0.1667
135,0.1872
136,0.1321
137,0.1323
138,0.2041
139,0.1382
140,0.1435
141,0.1636
142,0.1936
143,0.1767
145,0.1643
146,0.1513
147,0.1305
148,0.1608
150,0.1586
151,0.1768
153,0.1435
154,0.1809
155,0.1732
156,0.1609
157,0.1767
158,0.1494
159,0.1359
160,0.1196
161,0.1612
163,0.1486
164,0.1362
165,0.1257
166,0.1454
167,0.1664
168,0.1666
170,0.1526
171,0.1557
172,0.1583
173,0.1549
174,0.1656
175,0.1897
176,0.1452
177,0.1556
178,0.1475
179,0.1811
180,0.1315
182,0.1455
183,0.1729
184,0.1577
185,0.1647
186,0.1475
187,0.1802
188,0.1431
189,0.1669
190,0.168
191,0.1567
192,0.1587
193,0.1803
194,0.1734
196,0.1693
199,0.2027
200,0.1387
201,0.1633
204,0.1576
205,0.1511
206,0.1559
207,0.1676
208,0.1584
209,0.1544
210,0.1832
211,0.1555
212,0.1234
213,0.1499
214,0.1625
215,0.1334
220,0.1504
221,0.1271
222,0.1486
223,0.1701
224,0.1632
225,0.1501
226,0.1416
227,0.1548
228,0.1273
230,0.1621
231,0.1709
232,0.1757
233,0.1637
234,0.1543
235,0.1683
237,0.1284
238,0.1379
239,0.1685
242,0.1431
243,0.1548
245,0.151
246,0.1391
247,0.1603
248,0.145
250,0.1481
251,0.147
252,0.1442
253,0.1787
254,0.1507
255,0.1522
256,0.237
257,0.1571
258,0.1043
259,0.1659
260,0.1393
