project,street,postal,year,typeOfSale,propertyType,price_psm,lat,lon
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,20821.91780821918,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,22602.739726027397,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,21818.18181818182,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,23376.623376623378,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,22077.922077922078,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,22077.922077922078,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,23870.12987012987,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24935.064935064936,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,22397.260273972603,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2022,2,Apartment,23814.432989690722,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24403.846153846152,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,20877.19298245614,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,21908.396946564884,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24109.58904109589,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24356.164383561645,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,24794.520547945205,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24298.245614035088,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,25584.415584415583,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25040.082474226805,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25454.545454545456,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24383.561643835616,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25484.536082474227,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,25342.465753424658,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24385.964912280702,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25479.45205479452,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,2,Apartment,24452.054794520547,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,24615.384615384617,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,26184.21052631579,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25876.288659793816,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,2,Apartment,25194.805194805194,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,2,Apartment,25773.19587628866,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,25000.0,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,24935.064935064936,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25324.675324675325,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25714.285714285714,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25150.68493150685,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24561.40350877193,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,25360.82474226804,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2024,3,Apartment,24415.584415584417,1.290030670539985,103.8171852739029
ARTRA,ALEXANDRA VIEW,,2023,2,Apartment,24916.27397260274,1.290030670539985,103.8171852739029
