OBJECTID,PRICE_PSM,n_trans,n_hdb,n_ura,med_hdb,med_ura
1,18596.0,77,0,77,,18595.744680851065
2,3608.0,6,0,6,,3608.2296096910045
3,4517.0,34,34,0,4517.494494739418,
4,13683.0,5,0,5,,13682.692307692309
6,30471.0,44,0,44,,30471.17516629712
7,35401.0,4,0,4,,35401.11715899129
8,0.0,0,0,0,,
9,0.0,0,0,0,,
10,0.0,0,0,0,,
11,0.0,0,0,0,,
12,0.0,0,0,0,,
13,0.0,0,0,0,,
14,0.0,0,0,0,,
15,0.0,0,0,0,,
16,0.0,0,0,0,,
17,5254.0,17,17,0,5253.731343283582,
18,0.0,0,0,0,,
19,5147.0,19,19,0,5147.058823529412,
20,7325.0,28,28,0,7324.941270702456,
21,0.0,0,0,0,,
23,0.0,0,0,0,,
24,0.0,0,0,0,,
25,0.0,0,0,0,,
27,0.0,0,0,0,,
28,0.0,0,0,0,,
30,32532.0,37,0,37,,32532.467532467534
31,0.0,0,0,0,,
32,0.0,0,0,0,,
34,24385.0,492,0,492,,24384.76327805816
35,0.0,0,0,0,,
36,26705.0,5,0,5,,26704.545454545456
37,0.0,0,0,0,,
38,5955.0,14,14,0,5954.545454545454,
39,26515.0,11,4,7,7042.928591275355,37642.5855513308
40,11037.0,3,0,3,,11036.906854130053
41,0.0,2,2,0,5179.6875,
42,0.0,0,0,0,,
43,4909.0,53,53,0,4909.090909090909,
44,7219.0,23,23,0,7219.047619047619,
45,0.0,0,0,0,,
46,18841.0,24,0,24,,18841.03181945311
48,10739.0,54,0,54,,10738.704635373419
51,0.0,0,0,0,,
52,0.0,0,0,0,,
53,0.0,0,0,0,,
55,11540.0,38,11,27,7500.0,13185.840707964602
56,9474.0,100,100,0,9473.829854522453,
57,0.0,0,0,0,,
59,0.0,0,0,0,,
61,0.0,0,0,0,,
62,0.0,0,0,0,,
63,0.0,0,0,0,,
64,0.0,0,0,0,,
65,0.0,0,0,0,,
68,0.0,0,0,0,,
69,0.0,0,0,0,,
70,0.0,0,0,0,,
71,0.0,0,0,0,,
72,7132.0,48,48,0,7132.35294117647,
73,0.0,0,0,0,,
74,0.0,0,0,0,,
75,5339.0,14,14,0,5339.467126701169,
76,5582.0,33,33,0,5582.417582417583,
77,5174.0,16,16,0,5173.529411764706,
78,13666.0,76,0,76,,13666.185212845408
79,0.0,0,0,0,,
80,7164.0,20,20,0,7163.690476190476,
82,5378.0,42,42,0,5377.818831168832,
84,4910.0,46,46,0,4909.50040950041,
85,0.0,0,0,0,,
86,0.0,0,0,0,,
87,0.0,0,0,0,,
88,0.0,0,0,0,,
89,0.0,0,0,0,,
90,0.0,0,0,0,,
91,0.0,0,0,0,,
93,0.0,0,0,0,,
94,0.0,0,0,0,,
95,4665.0,46,46,0,4665.287424264814,
96,0.0,0,0,0,,
97,5194.0,13,13,0,5194.174757281553,
98,5170.0,26,26,0,5169.902912621359,
99,0.0,0,0,0,,
100,0.0,0,0,0,,
102,0.0,0,0,0,,
104,0.0,0,0,0,,
105,0.0,0,0,0,,
106,22323.0,146,9,137,4402.985074626866,23500.0
107,14272.0,207,0,207,,14271.844660194174
108,0.0,0,0,0,,
109,0.0,0,0,0,,
111,0.0,0,0,0,,
112,5684.0,19,19,0,5683.760683760684,
113,0.0,0,0,0,,
114,16733.0,25,0,25,,16732.673267326732
115,0.0,0,0,0,,
118,0.0,0,0,0,,
119,6452.0,74,74,0,6451.612903225807,
120,0.0,0,0,0,,
121,0.0,0,0,0,,
122,0.0,0,0,0,,
124,0.0,0,0,0,,
125,0.0,0,0,0,,
126,0.0,0,0,0,,
127,0.0,0,0,0,,
128,36461.0,68,0,68,,36461.24031007753
129,0.0,0,0,0,,
130,0.0,0,0,0,,
131,0.0,0,0,0,,
132,5949.0,62,62,0,5948.888888888889,
133,5220.0,32,32,0,5219.6462074510855,
134,0.0,0,0,0,,
135,0.0,0,0,0,,
136,0.0,0,0,0,,
137,17671.0,4,0,4,,17671.052631578947
138,0.0,0,0,0,,
139,6250.0,52,52,0,6250.0,
140,24853.0,26,0,26,,24852.941176470587
141,0.0,0,0,0,,
142,0.0,0,0,0,,
143,0.0,0,0,0,,
145,0.0,0,0,0,,
146,0.0,0,0,0,,
147,8009.0,34,34,0,8008.585858585859,
148,0.0,0,0,0,,
150,6163.0,28,28,0,6163.04347826087,
151,5729.0,12,12,0,5728.67803837953,
153,0.0,0,0,0,,
154,0.0,0,0,0,,
155,0.0,0,0,0,,
156,0.0,0,0,0,,
157,0.0,0,0,0,,
158,4949.0,12,12,0,4948.51204534719,
159,6033.0,61,61,0,6032.608695652174,
160,0.0,0,0,0,,
161,0.0,0,0,0,,
163,0.0,1,0,1,,24142.926122646066
164,0.0,0,0,0,,
165,5752.0,17,17,0,5752.212389380531,
166,0.0,0,0,0,,
167,14854.0,16,0,16,,14853.81470338656
168,5559.0,26,26,0,5558.717167872097,
170,16836.0,61,0,61,,16835.616438356163
171,0.0,0,0,0,,
172,5477.0,14,14,0,5476.5590062111805,
173,0.0,0,0,0,,
174,0.0,0,0,0,,
175,0.0,0,0,0,,
176,4742.0,28,28,0,4741.914045192734,
177,4893.0,13,13,0,4892.857142857143,
178,4932.0,5,5,0,4932.4324324324325,
179,0.0,0,0,0,,
180,5581.0,25,25,0,5581.196581196581,
182,4615.0,23,23,0,4615.384615384615,
183,0.0,0,0,0,,
184,0.0,0,0,0,,
185,0.0,0,0,0,,
186,0.0,0,0,0,,
187,0.0,0,0,0,,
188,0.0,0,0,0,,
189,0.0,0,0,0,,
190,0.0,0,0,0,,
191,0.0,1,0,1,,12047.24409448819
192,0.0,0,0,0,,
193,0.0,0,0,0,,
194,0.0,0,0,0,,
196,12728.0,8,0,8,,12727.784026996625
199,0.0,0,0,0,,
200,5221.0,31,31,0,5220.588235294118,
201,0.0,0,0,0,,
204,5234.0,40,40,0,5233.525641025641,
205,0.0,0,0,0,,
206,0.0,0,0,0,,
207,0.0,0,0,0,,
208,0.0,0,0,0,,
209,0.0,1,0,1,,24234.85321673954
210,0.0,0,0,0,,
211,22638.0,11,0,11,,22638.036809815952
212,0.0,0,0,0,,
213,8040.0,100,100,0,8039.596273291925,
214,4734.0,5,5,0,4733.94495412844,
215,22757.0,111,0,111,,22757.14285714286
220,0.0,0,0,0,,
221,0.0,0,0,0,,
222,0.0,0,0,0,,
223,0.0,0,0,0,,
224,0.0,0,0,0,,
225,5333.0,49,49,0,5333.333333333333,
226,5376.0,63,63,0,5376.344086021505,
227,4683.0,13,13,0,4682.539682539683,
228,11545.0,150,32,118,5992.72052526406,13050.141743444365
230,0.0,0,0,0,,
231,0.0,0,0,0,,
232,15000.0,3,0,3,,15000.0
233,0.0,0,0,0,,
234,0.0,0,0,0,,
235,0.0,0,0,0,,
237,0.0,0,0,0,,
238,0.0,0,0,0,,
239,0.0,0,0,0,,
242,6081.0,42,42,0,6081.112669471715,
243,0.0,0,0,0,,
245,0.0,0,0,0,,
246,0.0,0,0,0,,
247,6952.0,27,27,0,6952.380952380952,
