Feature,R2_drop_ECSI,R2_drop_SEVI,Total_Drop,High_VIF
BCR,0.6167,0.068,0.6847,True
DIS_CBD,0.602,0.0506,0.6526,False
NB_BCR,0.5861,0.0206,0.6068,True
FAR,0.1637,0.1096,0.2732,False
NDVI,0.1973,0.0586,0.2558,False
MENN,0.1029,0.1268,0.2297,False
LSI,0.1639,0.0574,0.2213,True
Albedo,0.172,0.0375,0.2095,False
SHDI,0.1672,0.0257,0.1929,True
SVF,0.1562,0.026,0.1822,False
LPI,0.1135,0.0269,0.1404,True
NB_AHI,0.1084,0.0212,0.1296,True
AHI,0.1027,0.0132,0.1159,True
BHD,0.0542,0.0362,0.0903,False
DIS_MRT,0.0488,0.0286,0.0774,False
