Feature,Importance_ECSI,Importance_SEVI,Total_Imp,High_VIF
DIS_CBD,0.6729,0.0614,0.7343,False
NB_BCR,0.6741,0.0334,0.7075,True
BCR,0.6082,0.0677,0.6758,True
SHDI,0.3308,0.0515,0.3823,True
NDVI,0.2504,0.074,0.3244,False
SVF,0.1893,0.0577,0.2471,False
MENN,0.1483,0.0677,0.216,False
FAR,0.1597,0.0479,0.2076,False
LSI,0.126,0.076,0.2019,True
NB_AHI,0.1645,0.034,0.1985,True
Albedo,0.1258,0.0425,0.1683,False
AHI,0.1311,0.0222,0.1533,True
LPI,0.0986,0.0323,0.1309,True
BHD,0.078,0.0406,0.1186,False
DIS_MRT,0.0744,0.0356,0.1101,False
