Group,Members,N_features,R2_drop_ECSI,R2_drop_SEVI,Total_Drop
DIS_CBD,DIS_CBD,1,0.602,0.0506,0.6526
Landscape (LSI+LPI+SHDI),"LSI, LPI, SHDI",3,0.2919,0.1369,0.4289
FAR,FAR,1,0.1637,0.1096,0.2732
NDVI,NDVI,1,0.1973,0.0586,0.2558
BCR (local+nbr),"BCR, NB_BCR",2,0.1717,0.0815,0.2532
MENN,MENN,1,0.1029,0.1268,0.2297
Albedo,Albedo,1,0.172,0.0375,0.2095
SVF,SVF,1,0.1562,0.026,0.1822
AHI (local+nbr),"AHI, NB_AHI",2,0.1196,0.0264,0.146
BHD,BHD,1,0.0542,0.0362,0.0903
DIS_MRT,DIS_MRT,1,0.0488,0.0286,0.0774
