Feature,Value_scaled,Value_true,Average_ECSI,Average_SEVI,Std_ECSI,Std_SEVI
BCR,-1.433698,0.000709,-1.517626,-0.32893,1.024377,0.712791
BCR,-1.349033,0.012554,-1.425443,-0.293947,1.017068,0.720099
BCR,-1.264368,0.024399,-1.332978,-0.259654,1.009559,0.72753
BCR,-1.179703,0.036244,-1.240283,-0.226073,1.001811,0.735075
BCR,-1.095039,0.04809,-1.147405,-0.193215,0.993866,0.742708
BCR,-1.010374,0.059935,-1.054379,-0.161124,0.985689,0.750385
BCR,-0.925709,0.07178,-0.961154,-0.129833,0.977333,0.758084
BCR,-0.841044,0.083625,-0.867797,-0.099355,0.968758,0.765793
BCR,-0.75638,0.09547,-0.774385,-0.069741,0.959981,0.773473
BCR,-0.671715,0.107315,-0.680926,-0.04098,0.951021,0.781138
BCR,-0.58705,0.11916,-0.587399,-0.01311,0.941875,0.788807
BCR,-0.502385,0.131005,-0.493851,0.013821,0.932634,0.796463
BCR,-0.41772,0.14285,-0.40029,0.039817,0.923369,0.804075
BCR,-0.333056,0.154696,-0.306761,0.064827,0.914083,0.811632
BCR,-0.248391,0.166541,-0.213331,0.088854,0.904823,0.819094
BCR,-0.163726,0.178386,-0.119996,0.11185,0.895542,0.826461
BCR,-0.079061,0.190231,-0.026783,0.133826,0.886322,0.833714
BCR,0.005603,0.202076,0.066297,0.154782,0.877101,0.840857
BCR,0.090268,0.213921,0.159186,0.174735,0.867901,0.847872
BCR,0.174933,0.225766,0.251819,0.193693,0.858775,0.854754
BCR,0.259598,0.237611,0.344137,0.211696,0.849786,0.861486
BCR,0.344263,0.249456,0.43609,0.228773,0.841031,0.868088
BCR,0.428927,0.261302,0.527659,0.244934,0.832478,0.87456
BCR,0.513592,0.273147,0.618794,0.260189,0.824163,0.880884
BCR,0.598257,0.284992,0.709491,0.274564,0.816103,0.887015
BCR,0.682922,0.296837,0.799699,0.288077,0.808319,0.892962
BCR,0.767586,0.308682,0.889356,0.300749,0.800795,0.898728
BCR,0.852251,0.320527,0.978463,0.312609,0.793547,0.904269
BCR,0.936916,0.332372,1.066984,0.323644,0.786557,0.90957
BCR,1.021581,0.344217,1.154883,0.333897,0.779842,0.914627
BCR,1.106245,0.356063,1.24208,0.343345,0.773496,0.919453
BCR,1.19091,0.367908,1.328572,0.351983,0.767549,0.924043
BCR,1.275575,0.379753,1.414319,0.359832,0.761966,0.928372
BCR,1.36024,0.391598,1.499318,0.366909,0.756745,0.932477
BCR,1.444905,0.403443,1.583554,0.373228,0.751898,0.936387
BCR,1.529569,0.415288,1.667019,0.378835,0.747414,0.940124
BCR,1.614234,0.427133,1.749667,0.383724,0.74336,0.943708
BCR,1.698899,0.438978,1.831528,0.38792,0.739698,0.947164
BCR,1.783564,0.450823,1.912599,0.391433,0.736322,0.950543
BCR,1.868228,0.462669,1.992908,0.394312,0.733272,0.953884
BCR,1.952893,0.474514,2.072481,0.39657,0.730569,0.957231
BCR,2.037558,0.486359,2.151301,0.39821,0.72821,0.960582
BCR,2.122223,0.498204,2.229432,0.399249,0.726134,0.963942
BCR,2.206888,0.510049,2.306857,0.399722,0.724367,0.967297
BCR,2.291552,0.521894,2.383574,0.399613,0.722854,0.970664
BCR,2.376217,0.533739,2.459616,0.398941,0.721535,0.974029
BCR,2.460882,0.545584,2.534994,0.39771,0.720399,0.977401
BCR,2.545547,0.557429,2.609759,0.395922,0.719469,0.980774
BCR,2.630211,0.569275,2.683922,0.393586,0.718706,0.984155
BCR,2.714876,0.58112,2.757425,0.390697,0.718081,0.987527
NB_BCR,-2.028712,0.008635,1.848794,0.161106,1.203057,0.947225
NB_BCR,-1.940704,0.017138,1.783127,0.159609,1.205591,0.945036
NB_BCR,-1.852697,0.02564,1.716439,0.157676,1.20832,0.942815
NB_BCR,-1.76469,0.034142,1.648677,0.155288,1.211267,0.940552
NB_BCR,-1.676683,0.042645,1.579814,0.15242,1.214452,0.938266
NB_BCR,-1.588676,0.051147,1.509817,0.149049,1.217873,0.935957
NB_BCR,-1.500669,0.059649,1.438676,0.14515,1.221567,0.933621
NB_BCR,-1.412662,0.068152,1.366291,0.140698,1.225581,0.931279
NB_BCR,-1.324655,0.076654,1.292651,0.135709,1.229956,0.92893
NB_BCR,-1.236648,0.085157,1.217826,0.130194,1.234716,0.926576
NB_BCR,-1.148641,0.093659,1.141837,0.124171,1.239912,0.924263
NB_BCR,-1.060633,0.102161,1.064654,0.117617,1.245533,0.921991
NB_BCR,-0.972626,0.110664,0.986292,0.110536,1.251668,0.919754
NB_BCR,-0.884619,0.119166,0.906716,0.10292,1.258309,0.917549
NB_BCR,-0.796612,0.127668,0.82599,0.0948,1.265445,0.915352
NB_BCR,-0.708605,0.136171,0.744111,0.086165,1.273119,0.913164
NB_BCR,-0.620598,0.144673,0.66104,0.077067,1.281408,0.911023
NB_BCR,-0.532591,0.153175,0.576755,0.0675,1.290248,0.90896
NB_BCR,-0.444584,0.161678,0.491294,0.057457,1.299648,0.906931
NB_BCR,-0.356577,0.17018,0.404684,0.046934,1.309592,0.904928
NB_BCR,-0.26857,0.178683,0.31685,0.035969,1.320078,0.90296
NB_BCR,-0.180562,0.187185,0.227815,0.024567,1.331114,0.90101
NB_BCR,-0.092555,0.195687,0.13752,0.012749,1.342578,0.899072
NB_BCR,-0.004548,0.20419,0.046092,0.000504,1.354461,0.897137
NB_BCR,0.083459,0.212692,-0.046486,-0.012135,1.366655,0.895211
NB_BCR,0.171466,0.221194,-0.140165,-0.025079,1.379138,0.893297
NB_BCR,0.259473,0.229697,-0.234932,-0.038284,1.391895,0.891369
NB_BCR,0.34748,0.238199,-0.330774,-0.051749,1.404764,0.889363
NB_BCR,0.435487,0.246701,-0.427735,-0.065442,1.417681,0.887306
NB_BCR,0.523494,0.255204,-0.525727,-0.07938,1.430579,0.885193
NB_BCR,0.611501,0.263706,-0.624701,-0.093514,1.443373,0.883018
NB_BCR,0.699509,0.272209,-0.724738,-0.107833,1.456082,0.880764
NB_BCR,0.787516,0.280711,-0.825831,-0.122363,1.468596,0.878457
NB_BCR,0.875523,0.289213,-0.928046,-0.137007,1.48079,0.87607
NB_BCR,0.96353,0.297716,-1.031351,-0.151833,1.4927,0.873576
NB_BCR,1.051537,0.306218,-1.135659,-0.166792,1.504155,0.871
