Group,Members,Mean_AbsSHAP_ECSI,Mean_AbsSHAP_SEVI,Total_AbsSHAP
BCR (local+nbr),"BCR, NB_BCR",1.781182,0.225948,2.00713
Landscape (LSI+LPI+SHDI),"LSI, LPI, SHDI",0.643936,0.387235,1.031171
SVF,SVF,0.4348,0.196455,0.631255
DIS_CBD,DIS_CBD,0.29747,0.171389,0.468859
NDVI,NDVI,0.266686,0.174579,0.441266
FAR,FAR,0.215014,0.123507,0.338521
AHI (local+nbr),"AHI, NB_AHI",0.240533,0.075844,0.316377
BHD,BHD,0.108411,0.147271,0.255682
Albedo,Albedo,0.107028,0.144679,0.251707
MENN,MENN,0.037852,0.069005,0.106857
DIS_MRT,DIS_MRT,0.046427,0.018253,0.06468
